zip,lat,lon
07510,41.011428,-74.304793
07511,41.011428,-74.304793
07533,41.011428,-74.304793
07538,41.011428,-74.304793
07543,41.011428,-74.304793
07544,41.011428,-74.304793
07602,40.948054,-74.083231
07653,40.948054,-74.083231
07709,40.302718,-74.24928
07710,40.302718,-74.24928
07715,40.302718,-74.24928
07752,40.402277,-74.027285
07754,40.302718,-74.24928
07763,40.302718,-74.24928
07765,40.302718,-74.24928
07777,40.302718,-74.24928
07799,40.302718,-74.24928
07802,40.867331,-74.578269
07806,40.867331,-74.578269
07829,40.84335,-74.985914
07837,41.12831,-74.678956
07839,41.12831,-74.678956
07845,40.867331,-74.578269
07855,41.12831,-74.678956
07875,41.043858,-74.871981
07877,41.10289,-74.850759
07879,40.955934,-74.788108
07890,41.12831,-74.678956
07902,40.665651,-74.299692
07938,40.655399,-74.586151
07962,40.867331,-74.578269
07963,40.867331,-74.578269
07978,40.642491,-74.639597
07983,40.867331,-74.578269
07999,40.867331,-74.578269
08018,39.80237,-74.938259
08025,39.701526,-75.162903
08076,39.862433,-74.725079
08099,39.779179,-74.962071
08101,39.80237,-74.938259
08213,39.509208,-74.608557
08214,39.056521,-74.816619
08218,39.056521,-74.816619
08219,39.056521,-74.816619
08220,39.509208,-74.608557
08231,39.509208,-74.608557
08250,39.056521,-74.816619
08252,39.042124,-74.861792
08313,39.529261,-75.224865
08315,39.273214,-75.095025
08342,39.50208,-74.833469
08347,39.499765,-75.082022
08362,39.271264,-75.027671
08404,39.509208,-74.608557
08405,39.509208,-74.608557
08504,40.425369,-74.668753
08526,40.162275,-74.475936
08541,40.280531,-74.712018
08543,40.280531,-74.712018
08556,40.419965,-74.988619
08557,40.563654,-74.949409
08570,40.430006,-74.417344
08601,40.280531,-74.712018
08602,40.280531,-74.712018
08603,40.280531,-74.712018
08604,40.280531,-74.712018
08605,40.280531,-74.712018
08606,40.280531,-74.712018
08607,40.280531,-74.712018
08625,40.280531,-74.712018
08645,40.280531,-74.712018
08646,40.280531,-74.712018
08647,40.280531,-74.712018
08650,40.280531,-74.712018
08666,40.280531,-74.712018
08677,40.280531,-74.712018
08695,40.280531,-74.712018
08739,40.000759,-74.24928
08754,40.000759,-74.24928
08756,39.787966,-74.191058
08803,40.563654,-74.949409
08808,40.737213,-75.046926
08818,40.430006,-74.417344
08834,40.563654,-74.949409
08855,40.430006,-74.417344
08862,40.430006,-74.417344
08868,40.565493,-74.938931
08870,40.563654,-74.949409
08871,40.430006,-74.417344
08875,40.580918,-74.711731
08877,40.430006,-74.417344
08878,40.436865,-74.250942
08885,40.576372,-74.831105
08888,40.619412,-74.740597
08896,40.566553,-74.599801
08899,40.520254,-74.420545
08903,40.513854,-74.445098
08905,40.430006,-74.417344
08906,40.430006,-74.417344
08922,40.430006,-74.417344
08933,40.430006,-74.417344
08988,40.430006,-74.417344
08989,40.430006,-74.417344
09007,,
09009,,
09012,,
09013,,
09014,,
09021,,
09028,,
09029,,
09031,,
09033,,
09034,,
09036,,
09037,,
09042,,
09045,,
09046,,
09050,,
09053,,
09054,,
09056,,
09058,,
09059,,
09060,,
09063,,
09067,,
09069,,
09072,,
09074,,
09076,,
09080,,
09081,,
09086,,
09089,,
09090,,
09094,,
09095,,
09096,,
09098,,
09099,,
09100,,
09102,,
09103,,
09104,,
09106,,
09107,,
09110,,
09111,,
09112,,
09114,,
09123,,
09126,,
09128,,
09131,,
09136,,
09137,,
09138,,
09139,,
09140,,
09142,,
09143,,
09154,,
09157,,
09164,,
09165,,
09166,,
09169,,
09172,,
09173,,
